Game_ID,Round,Region,Slot,Team1,Team2,Team1_From,Team2_From,PickPct1,PickPct2
1,1,East,R64-1,Duke,Siena,,,98%,2%
2,1,East,R64-2,Ohio St.,TCU,,,59%,41%
3,1,East,R64-3,St. John's,Northern Iowa,,,88%,12%
4,1,East,R64-4,Kansas,Cal Baptist,,,93%,7%
5,1,East,R64-5,Louisville,South Florida,,,62%,38%
6,1,East,R64-6,Michigan St.,North Dakota St.,,,95%,5%
7,1,East,R64-7,UCLA,UCF,,,66%,34%
8,1,East,R64-8,Connecticut,Furman,,,96%,4%
9,1,West,R64-1,Arizona,LIU,,,97%,3%
10,1,West,R64-2,Villanova,Utah St.,,,51%,49%
11,1,West,R64-3,Wisconsin,High Point,,,83%,17%
12,1,West,R64-4,Arkansas,Hawaii,,,92%,8%
13,1,West,R64-5,BYU,Texas,,,80%,20%
14,1,West,R64-6,Gonzaga,Kennesaw St.,,,95%,5%
15,1,West,R64-7,Miami FL,Missouri,,,61%,39%
16,1,West,R64-8,Purdue,Queens,,,96%,4%
17,1,South,R64-1,Florida,Lehigh,,,98%,2%
18,1,South,R64-2,Clemson,Iowa,,,42%,58%
19,1,South,R64-3,Vanderbilt,McNeese,,,83%,17%
20,1,South,R64-4,Nebraska,Troy,,,87%,13%
21,1,South,R64-5,North Carolina,VCU,,,69%,31%
22,1,South,R64-6,Illinois,Penn,,,92%,8%
23,1,South,R64-7,Saint Mary's,Texas A&M,,,53%,47%
24,1,South,R64-8,Houston,Idaho,,,97%,3%
25,1,Midwest,R64-1,Michigan,Howard,,,98%,2%
26,1,Midwest,R64-2,Georgia,Saint Louis,,,56%,44%
27,1,Midwest,R64-3,Texas Tech,Akron,,,77%,23%
28,1,Midwest,R64-4,Alabama,Hofstra,,,89%,11%
29,1,Midwest,R64-5,Tennessee,SMU,,,83%,17%
30,1,Midwest,R64-6,Virginia,Wright St.,,,95%,5%
31,1,Midwest,R64-7,Kentucky,Santa Clara,,,69%,31%
32,1,Midwest,R64-8,Iowa St.,Tennessee St.,,,96%,4%
33,2,East,R32-1,,,1,2,,
34,2,East,R32-2,,,3,4,,
35,2,East,R32-3,,,5,6,,
36,2,East,R32-4,,,7,8,,
37,2,West,R32-1,,,9,10,,
38,2,West,R32-2,,,11,12,,
39,2,West,R32-3,,,13,14,,
40,2,West,R32-4,,,15,16,,
41,2,South,R32-1,,,17,18,,
42,2,South,R32-2,,,19,20,,
43,2,South,R32-3,,,21,22,,
44,2,South,R32-4,,,23,24,,
45,2,Midwest,R32-1,,,25,26,,
46,2,Midwest,R32-2,,,27,28,,
47,2,Midwest,R32-3,,,29,30,,
48,2,Midwest,R32-4,,,31,32,,
49,3,East,S16-1,,,33,34,,
50,3,East,S16-2,,,35,36,,
51,3,West,S16-1,,,37,38,,
52,3,West,S16-2,,,39,40,,
53,3,South,S16-1,,,41,42,,
54,3,South,S16-2,,,43,44,,
55,3,Midwest,S16-1,,,45,46,,
56,3,Midwest,S16-2,,,47,48,,
57,4,East,E8-1,,,49,50,,
58,4,West,E8-1,,,51,52,,
59,4,South,E8-1,,,53,54,,
60,4,Midwest,E8-1,,,55,56,,
61,5,FinalFour,FF-1,,,57,59,,
62,5,FinalFour,FF-2,,,58,60,,
63,6,Championship,Title,,,61,62,,
