Team,Seed,AdjO,AdjD,Tempo,eFG%,TOV%,ORB%,FTR,3P Rate
Duke,1,128.60,87.90,65.30,57.00,15.00,37.00,38.00,44.00
Arizona,1,126.80,89.50,70.10,55.00,15.00,38.00,43.00,27.00
Florida,1,126.60,91.20,70.80,54.00,16.00,43.00,39.00,37.00
Michigan,1,128.70,89.40,71.50,58.00,16.00,35.00,38.00,42.00
Connecticut,2,122.80,94.50,64.90,55.00,16.00,34.00,30.00,40.00
Purdue,2,130.70,101.20,64.90,58.00,13.00,35.00,29.00,41.00
Houston,2,125.20,92.80,63.30,52.00,13.00,34.00,27.00,41.00
Iowa St.,2,123.40,92.20,66.70,57.00,15.00,33.00,34.00,39.00
Michigan St.,3,122.90,93.90,65.90,54.00,17.00,37.00,36.00,36.00
Gonzaga,3,122.30,94.10,68.60,56.00,13.00,34.00,31.00,31.00
Illinois,3,131.90,99.20,65.50,55.00,13.00,38.00,33.00,51.00
Virginia,3,121.80,96.50,65.80,55.00,16.00,37.00,33.00,47.00
Kansas,4,119.60,94.20,67.50,52.00,15.00,28.00,33.00,36.00
Arkansas,4,128.10,102.10,71.10,57.00,12.00,30.00,36.00,33.00
Nebraska,4,119.50,92.50,66.80,55.00,14.00,25.00,27.00,51.00
Alabama,4,129.80,103.70,73.00,55.00,13.00,29.00,37.00,54.00
St. John's,5,119.90,95.40,69.70,51.00,14.00,34.00,42.00,34.00
Wisconsin,5,125.50,102.90,69.00,55.00,13.00,27.00,32.00,53.00
Vanderbilt,5,125.70,99.20,69.50,55.00,13.00,29.00,38.00,44.00
Texas Tech,5,126.30,100.20,66.20,56.00,16.00,32.00,27.00,48.00
Louisville,6,124.90,98.80,69.70,56.00,16.00,32.00,34.00,53.00
BYU,6,126.60,104.10,69.80,55.00,15.00,33.00,34.00,40.00
North Carolina,6,121.60,100.60,67.70,55.00,14.00,29.00,37.00,42.00
Tennessee,6,121.60,95.50,65.20,52.00,17.00,45.00,39.00,32.00
UCLA,7,124.00,102.80,64.40,54.00,13.00,29.00,33.00,36.00
Miami FL,7,121.80,100.70,67.70,56.00,16.00,34.00,38.00,32.00
Saint Mary's,7,120.60,97.50,65.20,53.00,16.00,37.00,36.00,36.00
Kentucky,7,121.70,100.30,68.20,53.00,15.00,33.00,38.00,39.00
Ohio St.,8,124.50,102.80,66.30,57.00,15.00,28.00,38.00,40.00
Villanova,8,121.10,100.10,65.20,54.00,15.00,30.00,31.00,46.00
Clemson,8,116.30,97.40,64.20,53.00,14.00,26.00,37.00,43.00
Georgia,8,126.00,104.90,71.20,55.00,14.00,33.00,37.00,44.00
TCU,9,114.80,97.40,67.50,51.00,15.00,32.00,39.00,37.00
Utah St.,9,123.10,103.50,67.60,57.00,15.00,31.00,39.00,41.00
Iowa,9,121.80,99.30,63.10,57.00,15.00,28.00,35.00,42.00
Saint Louis,9,120.10,101.50,70.90,60.00,17.00,29.00,35.00,45.00
UCF,10,121.30,105.90,69.30,53.00,15.00,33.00,31.00,34.00
Missouri,10,119.90,104.50,66.10,55.00,18.00,33.00,43.00,36.00
Texas A&M,10,120.70,100.90,70.60,54.00,14.00,30.00,37.00,46.00
Santa Clara,10,124.00,104.60,69.20,55.00,15.00,35.00,26.00,45.00
South Florida,11,117.80,102.50,71.60,51.00,15.00,36.00,41.00,44.00
Texas,11,126.30,106.40,66.70,54.00,15.00,34.00,46.00,36.00
VCU,11,120.30,103.40,69.00,54.00,15.00,31.00,44.00,44.00
SMU,11,123.40,105.30,68.50,56.00,15.00,33.00,31.00,36.00
Northern Iowa,12,110.40,98.50,62.30,54.00,14.00,20.00,26.00,40.00
High Point,12,117.40,109.00,69.90,55.00,13.00,31.00,43.00,43.00
McNeese,12,114.70,102.10,66.10,51.00,14.00,34.00,38.00,35.00
Akron,12,120.80,107.40,70.50,59.00,15.00,33.00,29.00,45.00
Cal Baptist,13,108.30,102.90,65.70,49.00,18.00,36.00,36.00,32.00
Hawaii,13,107.30,102.30,69.80,52.00,19.00,29.00,42.00,40.00
Troy,13,111.00,109.30,64.90,52.00,17.00,33.00,36.00,46.00
Hofstra,13,114.90,105.40,64.70,52.00,16.00,34.00,33.00,43.00
North Dakota St.,14,112.10,107.00,66.30,53.00,15.00,32.00,31.00,43.00
Kennesaw St.,14,110.00,111.00,71.40,51.00,16.00,34.00,45.00,43.00
Penn,14,107.90,107.20,69.20,50.00,15.00,29.00,35.00,35.00
Wright St.,14,112.40,110.40,67.20,54.00,16.00,31.00,38.00,34.00
Furman,15,107.80,109.70,65.90,55.00,17.00,30.00,32.00,46.00
Queens,15,116.10,117.60,69.60,57.00,15.00,29.00,36.00,47.00
Idaho,15,109.30,108.10,67.60,52.00,15.00,26.00,35.00,47.00
Tennessee St.,15,109.40,111.20,70.20,50.00,16.00,32.00,34.00,31.00
Siena,16,107.50,109.50,64.60,51.00,16.00,30.00,34.00,32.00
LIU,16,106.00,109.90,67.80,53.00,19.00,34.00,35.00,29.00
Lehigh,16,102.80,114.00,67.00,53.00,17.00,21.00,32.00,38.00
Howard,16,104.00,107.00,69.10,51.00,19.00,33.00,44.00,34.00
